dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
502584027,2022-01-07,2022,1,4,18,Вечер (18–22),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,11,9,input/2022,55.679163,37.56409,,Профсоюзная ул,,,6.0,Асфальтобетонное,
502547227,2022-01-07,2022,1,4,15,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,3,0,0,2,4,7,21,input/2022,55.440299,37.288445,,,Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление),43,8.0,Асфальтобетонное,
502515027,2022-01-07,2022,1,4,13,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,1,1,2,1,74,input/2022,55.76306,37.832429,,Молостовых ул,,,4.0,Асфальтобетонное,
502802227,2022-01-07,2022,1,4,18,Вечер (18–22),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,1,2,3,1,122,input/2022,55.744645,37.851623,,Носовихинское ш,,,6.0,Асфальтобетонное,
502578827,2022-01-08,2022,1,5,4,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,2,6,123,input/2022,55.850686,37.452693,,Свободы ул,,,4.0,"Асфальтобетонное, с поверхностной обработкой",
502596827,2022-01-08,2022,1,5,0,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,1,2,55,input/2022,55.751831,37.36919,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,59,5.0,Асфальтобетонное,
502642427,2022-01-08,2022,1,5,19,Вечер (18–22),Зима,True,False,True,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,6,108,input/2022,55.816643,37.460557,,Габричевского ул,,,2.0,Асфальтобетонное,
502654227,2022-01-08,2022,1,5,11,Утро (6–12),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,1,2,3,7,147,input/2022,55.607081,37.447404,,Николо-Хованская (п Сосенское) ул,,,2.0,Асфальтобетонное,
502685027,2022-01-08,2022,1,5,4,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,2,4,5,71,input/2022,55.885054,37.730538,,Ярославское ш,,,10.0,Асфальтобетонное,
502611227,2022-01-08,2022,1,5,13,День (12–18),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,2,15,input/2022,55.641991,37.346359,,Шолохова ул,,,4.0,Асфальтобетонное,
502600027,2022-01-08,2022,1,5,11,Утро (6–12),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,2,4,2,58,input/2022,55.706321,37.45824,,Аминьевское ш,,,4.0,Асфальтобетонное,
502610427,2022-01-08,2022,1,5,12,День (12–18),Зима,True,False,False,8,Наезд на животное,Прочее,Ранение,0,1,0,0,1,2,11,72,input/2022,55.692106,37.53773,,,,,8.0,Асфальтобетонное,
502788627,2022-01-08,2022,1,5,22,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,1,2,3,9,32,input/2022,55.653064,37.619677,,Варшавское ш,,,4.0,Асфальтобетонное,
502848627,2022-01-09,2022,1,6,21,Вечер (18–22),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,1,150,input/2022,55.763,37.729347,,Буракова ул,,,2.0,Асфальтобетонное,
502658427,2022-01-09,2022,1,6,0,Ночь (22–6),Зима,True,True,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,5,103,input/2022,55.814919,37.638184,,Мира пр-кт,,,6.0,Асфальтобетонное,
502670227,2022-01-09,2022,1,6,8,Утро (6–12),Зима,True,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,9,94,input/2022,55.623138,37.760235,,Бесединское ш,,,3.0,Асфальтобетонное,
502694027,2022-01-09,2022,1,6,4,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,6,108,input/2022,55.828028,37.418962,,Волоколамское ш,,,8.0,"Асфальтобетонное, с поверхностной обработкой",
502710427,2022-01-09,2022,1,6,14,День (12–18),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,3,4,11,109,input/2022,55.687099,37.534897,,Строителей ул,,,4.0,Асфальтобетонное,
502739027,2022-01-09,2022,1,6,17,День (12–18),Зима,True,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,9,141,input/2022,55.621817,37.738638,,Шипиловская ул,,,2.0,Асфальтобетонное,
502745027,2022-01-09,2022,1,6,20,Вечер (18–22),Зима,True,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,1,1,2,1,4,input/2022,55.817505,37.714605,,Маршала Рокоссовского б-р,,,2.0,Асфальтобетонное,
502750827,2022-01-09,2022,1,6,21,Вечер (18–22),Зима,True,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,11,44,input/2022,55.644528,37.535616,,Генерала Антонова ул,,,2.0,Асфальтобетонное,
502752827,2022-01-09,2022,1,6,6,Утро (6–12),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,4,92,input/2022,55.92265,37.394017,,Международное ш,,2013-01-01 00:00:00,2.0,Асфальтобетонное,
502761027,2022-01-09,2022,1,6,23,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,0,1,3,1,130,input/2022,55.852595,37.784386,,,Московская кольцевая автомобильная дорога (МКАД) внешняя сторона,99,5.0,Асфальтобетонное,
502762427,2022-01-09,2022,1,6,21,Вечер (18–22),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,4,2,6,19,input/2022,55.775704,37.469805,,Маршала Жукова пр-кт,,,2.0,Асфальтобетонное,
